Year,Title,Director,Actor,Genre,Age Certification,Imdb
2010,Padagasalai,J. Tamil,Satya,"Romance, action",U,7.6
2010,Paiyya,Linguswamy,Karthi,Comedy horror,U/A,4
2010,Sivappu Mazhai,V. Krishnamurthy,Suresh Joachim,Sports comedy,S,7.6
2010,Bayam Ariyaan,Prathesh,Mahesh Kumar,"Action, thriller",U,8.2
2010,Pattu Vanna Rosavam,S. S. Senthil Kumar,Kovur Ravi,Action thriller,U/A,5.3
2010,Rettaisuzhi,Thamira,K. Balachander,"Period piece, romantic drama",S,7.6
2010,Sura,S. P. Rajkumar,Vijay,Action-masala,U,4
2010,Goripalayam,Rasu Madhuravan,Ramakrishnan,Political drama,U/A,7.6
2010,Guru Sishyan,Sakthi Chidambaram,Sathyaraj,Science fiction,S,8.2
2010,Irumbukkottai Murattu Singam,Chimbudevan,Raghava Lawrence,Action-drama,U,5.3
2010,Kutti Pisasu,Rama Narayanan,Baby Keerthika,Devotional,U/A,7.6
2010,Maa,Fathima Beevi,Deepak,Action-masala film,S,4
2010,Kanagavel Kaaka,Kavin Bala,Karan,Sports,U,7.6
2010,Kola Kolaya Mundhirika,Madhumitha,Karthik Kumar,Fantasy,U/A,8.2
2010,Maanja Velu,A. Venkatesh,Arun Vijay,Romantic thriller,S,5.3
2010,Magane En Marumagane,T. P. Gajendran,Vivek,Period piece,U,7.6
2010,Kadhalagi,K. R. Vishwaa,Krishnakumar,Comedy thriller,U/A,4
2010,Kattradhu Kalavu,Balaji Devi Prasad,Kreshna,Adult comedy,S,7.6
2010,Singam,Hari,Suriya,Biographical,U,8.2
2010,Pen Singam,Bali Srirangam,Meera Jasmine,Political satire,U/A,5.3
2010,Drogam Nadanthathu Enna,Sameer,Kishore,Gangster-thriller,S,7.6
2010,Orr Eravuu,Hari Shankar,Sathish,Adult thriller,U,4
2010,Pa. Ra. Palanisamy,M. Muthurathnam,Sundaram,Superhero,U/A,7.6
2010,Raavanan,Mani Ratnam,Vikram,Spoof,S,8.2
2011,Vaagai Sooda Vaa,A. Sargunam,Vimal,"Period piece, romantic drama",U,7.6
2011,Vedi,Prabhu Deva,Vishal,Action-masala,U/A,4
2011,Vellore Maavattam,R. N. R. Manohar,Nandha,Action,S,7.6
2011,Sadhurangam,Karu Pazhaniappan,Srikanth,Political drama,U,8.2
2011,Raa Raa,Sandilya,Udhaya,Romantic comedy,U/A,5.3
2011,Varnam,S. M. Raju,Giri,Drama,S,7.6
2011,Varudangal 20,K. Kennedy,Meenkhotti,Erotic,U,4
2011,Keezhatheru Kicha,N. S. Madhavan,Ramesh Ram,Comedy,U/A,7.6
2011,Uyirin Yedai 21 Ayiri,E. L. Indrajith,E.L.Indrajith,Erotic,S,8.2
2011,Kaadhal Alla Adhaiyum Thaandi,V. C. Prem,Pravin Ragav,Romantic drama,U,5.3
2011,7aum Arivu,A. R. Murugadoss,Suriya,Science fiction,U/A,7.6
2011,Velayudham,M. Raja,Vijay,Action-masala,S,4
2011,Konjam Sirippu Konjam Kobam,Sampoornam,Mahesh,Romance,U,7.6
2011,Naan Sivanagiren,V. K. Gnanashekar,Udhay Karthik,Drama,U/A,8.2
2011,Thambi Vettothi Sundaram,Vadivudaiyan,Karan,"Action, masala",S,5.3
2011,Vithagan,R. Parthiban,Parthiban,Romantic comedy,U,7.6
2011,Marudhavelu,RKR Adhimolam,Kailash,Romance,U/A,4
2011,Mayakkam Enna,Selvaraghavan,Dhanush,Romantic drama,S,7.6
2011,Othigai,A. M. Bhaskar,Jai Akash,Crime thriller,U,8.2
2011,Paalai,Senthamizhan,Shammu,"Thriller, drama",U/A,5.3
2011,Poraali,Samuthirakani,M. Sasikumar,Action,S,7.6
2011,Gurusamy,K. R. Vishnaanth,Udhayathara,Psychological thriller,U,4
2011,Osthe,Dharani,Silambarasan,Adult,U/A,7.6
2011,Venmani,Kathaka Thirumavalavan,Karthik Jai,Masala,S,8.2
2011,Neeye En Kadhali,Chinni Jayanth,Chinni Jayanth,Suspense thriller,U,5.3
2011,Mambattiyan,Thyagarajan,Prashanth,"Thriller, fantasy",U/A,7.6
2011,Uchithanai Muharnthaal,Pughazhendi Thangaraj,Neenika,Epic,S,4
2011,Mouna Guru,Shantha Kumar,Arulnithi,Thriller,U,7.6
2011,Rajapattai,Suseenthiran,Vikram,"Action, drama",U/A,8.2
2011,Mahaan Kanakku,Sampath,Ramana,Comedy drama,S,5.3
2011,Maharaja,Manoharan,Sathya,Comedy,U,7.6
2011,Paavi,Not Available,Not Available,"Mob, neo-noir",U/A,4
2011,Padhinettan Kudi Ellai Arambam,N. Sundareswaran,Prithvi Rajan,Erotic thriller,S,7.6
2012,Madhuvum Mythiliyum,J Jayanthi,S.Bhuvan,Erotic,U,8.2
2012,Nanban,Shankar,Vijay,"Romance, action",U/A,5.3
2012,Kollaikaran,Tamil Selvan,Vidharth,Comedy horror,S,7.6
2012,Vettai,N. Linguswamy,Arya,Sports comedy,U,4
2012,Medhai,N. T. G. Saravanan,Ramarajan,"Action, thriller",U/A,7.6
2012,Paari,Rajini,Rahul,Action thriller,S,8.2
2012,Settai Dhanam,Sathish R.,Krish,"Period piece, romantic drama",U,5.3
2012,Theni Maavattam,P. R. Kaumaarimuthu,Gopalkandhan,Action-masala,U/A,7.6
2012,Marina,Pandiraj,Sivakarthikeyan,Political drama,S,4
2012,Sengathu Bhoomiyilae,Rathna Kumar,Pawan,Science fiction,U,7.6
2012,Dhoni,Prakash Raj,Prakash Raj,Action-drama,U/A,8.2
2012,Oru Mazhai Naangu Saaral,Anand,Ravi,Devotional,S,5.3
2012,Oru Nadigaiyin Vaakkumoolam,Rajkrishna,Sonia Agarwal,Action-masala film,U,7.6
2012,Soozhnilai,T. Senthuran,Sathya,Sports,U/A,4
2012,Vachathi,Ravi Thambi,Rethna Ramesh,Fantasy,S,7.6
2012,Vilayada Vaa,Vijay Nantha,Viswanath Balaji,Romantic thriller,U,8.2
2012,Ambuli,Hari Shankar,R. Parthiban,Period piece,U/A,5.3
2012,Kadhalil Sodhappuvadhu Yeppadi,Balaji Mohan,Siddharth,Comedy thriller,S,7.6
2012,Muppozhudhum Un Karpanaigal,Elred Kumar,Adharvaa,Adult comedy,U,4
2012,Udumban,Ramji S. Balan,Dilip Rogger,Biographical,U/A,7.6
2012,Kadhal Paathai,Vyaasan,Vinod Kumar,Political satire,S,8.2
2012,Virudhanagar Sandhippu,VSD Rengarajan,Chandru,Gangster-thriller,U,5.3
2012,Aravaan,Vasanthabalan,Aadhi,Adult thriller,U/A,7.6
2012,Kondaan Koduthaan,G. Rajendran,Kadhir Kaman,Superhero,S,4
2012,Shankar Oor Rajapalayam,Veera,Kanthesh,Spoof,U,7.6
2012,Naanga,Selva,Sanjay Krishna,Adult romance,U/A,8.2
2012,Pathirama Pathukkunga,C. Somasundaram,Sharan,Horror,S,5.3
2012,Sevarkkodi,R. Subramanian,Arun Balaji,Crime,U,7.6
2012,Kazhugu,Sathyasiva,Krishna Sekhar,Spy thriller,U/A,4
2012,Maasi,G. Kicha,Arjun,Drama-thriller,S,7.6
2012,Ullam,Arunmoorthy,Mithun,Comedy-thriller,U,8.2
2012,Vinmeengal,Vignesh Menon,Rahul Ravindran,Action thriller,U/A,5.3
2012,Aayiram Muthangaludan Thenmozhi,Shanmugha Raj,Venkatesh,Romance-thriller,S,7.6
2012,Kadhal Pisase,Aravindan,Aravindan,Action masala,U,4
2012,Kantha,K. Vishwanath,Karan,Black comedy,U/A,7.6
2012,Nanda Nanditha,Rama Siva,Hemachandran,Horror / thriller,S,8.2
2012,3,Aishwarya R. Dhanush,Dhanush,Action drama,U,5.3
2012,Meeravudan Krishna,A. Krishna,A. Krishna,Fantasy thriller,U/A,7.6
2012,Mudhalvar Mahatma,A. Balakrishnan,Kanakaraj,War drama,S,4
2012,Othakkuthirai,J. Srinivasan,Thiru,Fantasy comedy,U,7.6
2012,Otha Veedu,Balu Malarvannan,Dileep Kumar,Comedy-drama,U/A,8.2
2016,Amma Kanakku,Ashwini Iyer Tiwari,Amala Paul,Drama,U/A,1.8
2016,Metro,Ananda Krishnan,Shirish,Action thriller,S,7.6
2016,Raja Manthiri,Usha Krishnan,Kalaiyarasan,Comedy drama,U,8.2
2016,Appa,Samuthirakani,Samuthirakani,Drama,U/A,5.4
2016,Jackson Durai,Dharani Dharan,Sathyaraj,Horror comedy,S,7.6
2016,Oru Melliya Kodu,A. M. R. Ramesh,Arjun,Drama thriller,U,1.8
2016,Paisa,Majith,Sree Raam,Comedy,U/A,7.6
2016,Adra Machan Visilu,Thiraivannan,Shiva,Comedy,S,8.2
2016,Dhilluku Dhuddu,Rambala,Santhanam,Horror comedy,U,5.4
2016,Arthanari,Sundarra Elangovan,Arundhati,Drama,U/A,7.6
2016,Ka Ka Ka Po,P. S. Vijay,Kesavan,Comedy,S,1.8
2016,Kizhakku Chandu,A. Senthil Anandhan,Bala,Drama,U,7.6
2016,Kodambakkam Kokila,C. R. Muthupandi,Asha Latha,Drama thriller,U/A,8.2
2016,Megamoottam,Vaidyanathan Natarajan,KV Rajan,Romance,S,5.4
2016,Onbathilirindhu Pathu Varai,Vijai Shanmugavel Iyyanaar,Kathir,Drama thriller,U,7.6
2016,Summave Aaduvom,Kadhal Sukumar,Arun Balaji,Drama,U/A,1.8
2016,Kabali,Pa. Ranjith,Rajinikanth,Action drama,S,7.6
2016,Vellikizhamai 13am Thethi,Pugaal Mani,Rathan Mouli,Horror Comedy,U,8.2
2016,Sandikuthirai,Anbumani,Rajkamal,Romantic drama,U/A,5.4
2016,Ennama Kadha Vudranunga,V. Francis Raj,Aarvi,Comedy drama,S,7.6
2016,Tamilselvanum Thaniyar Anjalum,Premsai,Jai,Romantic comedy,U,1.8
2016,Thirunaal,P. S. Ramnath,Jiiva,Action,U/A,7.6
2016,Joker,Raju Murugan,Guru Somasundaram,Social satire,S,8.2
2016,Mudinja Ivana Pudi,K. S. Ravikumar,Sudeep,Action masala,U,5.4
2016,Wagah,G. N. R. Kumaravelan,Vikram Prabhu,Romanctic drama,U/A,7.6
2016,Dharma Durai,Seenu Ramasamy,Vijay Sethupathi,Romantic drama,S,1.8
2016,Nambiyaar,Ganeshaa,Srikanth,Comedy,U,7.6
2016,Yaanai Mel Kuthirai Sawaari,Karuppiah Murugan,Archana Singh,Comedy,U/A,8.2
2016,Bayam Oru Payanam,Manisharma,Bharath Reddy,Horror,S,5.4
2016,54321,Ragavendra Prasad,Shabeer,Drama,U,7.6
2016,Andha Kuyil Needhana,Stanley Jose,Keerthi Krishna,Drama,U/A,1.8
2016,Enakku Veru Engum Kilaigal Kidayathu,Ganapathy Balamurugan,Goundamani,Comedy,S,7.6
2016,Meendum Oru Kadhal Kadhai,Mithran Jawahar,Walter Phillips,Romance,U,8.2
2016,Vendru Varuvaan,Vijendran,Veerabharathi,Action,U/A,5.4
2016,Ilamai Oonjal,Mangai Harirajan,Namitha,Action,S,7.6
2016,Kidaari,Prasath Murugesan,Sasikumar,Action,U,1.8
2016,Kuttrame Thandanai,M. Manikandan,Vidharth,Crime thriller,U/A,7.6
2016,Thagadu,M. Thanga Durai,Ajay,Historical drama,S,8.2
2016,Iru Mugan,Anand Shankar,Vikram,Action,U,8.2
2016,Vaaimai,A. Senthil Kumar,Shanthanu Bhagyaraj,Drama,U/A,7.6
2016,Pudhusa Naan Poranthen,Majid Abu,Biyon,Drama,S,1.8
2016,Nayagi,Govi,Trisha,Horror,U,7.6
2016,Karma,R. Arvind,R. Arvind,Thiller,U/A,8.2
2016,Pagiri,Esakki Karvannan,Prabhu Ranaveeran,Romantic comedy,S,5.4
2016,Sadhuram 2,Sumanth Radhakrishnan,Yog Japee,Thriller,U,7.6
2016,Uchathula Shiva,Jaypee,Karan,Action drama,U/A,1.8
2016,Thodari,Prabhu Solomon,Dhanush,Romantic thriller,S,7.6
2016,Aandavan Kattalai,M. Manikandan,Vijay Sethupathi,Comedy drama,U,8.2
2018,Maya Bhavanam,Om Shri Kannaji,Om Shri Kannaji,Supernatural thriller,U/A,7.7
2018,Ondikatta,Bharani,Vikram Jagadish,Comic thriller,S,8.2
2018,Vinveli Payana Kurippugal,R. Jayaprakash,Athvik Jalandhar,Spy comedy,U,5.4
2018,Junga,Gokul,Vijay Sethupathi,Science-fiction comedy,U/A,7.7
2018,Mohini,Madhesh,Trisha,Epic / history,S,1.8
2018,Arali,A. R. Subbaraj,Madhu Soothan,Biography,U,7.7
2018,Enga Kattula Mazhai,Sri Balaji,Mithun,Science fiction comedy,U/A,8.2
2018,Ghajinikanth,Santhosh P. Jayakumar,Arya,Fantasy horror,S,5.4
2018,Kadal Kuthiraigal,Pugazhendhi Thangaraj,Rohini,Road thriller,U,7.7
2018,Kadikara Manithargal,Vaigarai Balan,Kishore,Horror drama,U/A,1.8
2018,Kattu Paya Sir Intha Kaali,Youreka,Jaivanth,Thriller drama,S,7.7
2018,Maniyaar Kudumbam,Thambi Ramaiah,Umapathy Ramaiah,Mystery,U,8.2
2018,Nadodi Kanavu,Veera Selva,Mahendran,Suspense Drama,U/A,5.4
2018,Poya Velaya Patthukkittu,Viruthai Vel,Sandeep,Neo Noir Thriller,S,7.7
2018,Azhagumagan,Azhagan Selva,Arjun Udhay,Drama thriller,U,1.8
2018,Kadhal Enakku Romba Pidikkum,C. Sakthivel,Suryavarman,Social satire,U/A,7.7
2018,Moondru Rasikarkal,Shebi,Roshan Basheer,Romanctic drama,S,8.2
2018,Pyaar Prema Kaadhal,Elan,Harish Kalyan,Historical drama,U,5.4
2018,Vishwaroopam 2,Kamal Haasan,Kamal Haasan,Thiller,U/A,7.7
2018,Kolamavu Kokila,Nelson Dilipkumar,Nayanthara,Supernatural comedy,S,1.8
2018,Marainthirunthu Paarkum Marmam Enna,Rahesh,Dhruvva,Supernatural,U,7.7
2018,Odu Raja Odu,"Nishanth, Jathin",Guru Somasundaram,Historical,U/A,8.2
2018,Echcharikkai,Sarjun,Sathyaraj,Horror masala,S,5.4
2018,Kalari,Kiran Chand,Kreshna,Heist thriller,U,7.7
2018,Lakshmi,A. L. Vijay,Prabhu Deva,Fantasy adventure comedy,U/A,1.8
2018,Merku Thodarchi Malai,Lenin Bharathi,Antony,Action adventure,S,7.7
2018,Imaikkaa Nodigal,Ajay Gnanamuthu,Nayanthara,Crime drama,U,8.2
2018,60 Vayadu Maaniram,Radha Mohan,Vikram Prabhu,Musical drama,U/A,5.4
2018,Aaruthra,Pa. Vijay,Pa. Vijay,Horror thriller,S,7.7
2018,Annanukku Jai,Rajkumar,Dinesh,Period,U,1.8
2018,Avalukkenna Azhagiya Mugam,A. Kesavan,Vijay Karthik,Social drama,U/A,7.7
2018,Padithavudan Kilithu Vidavum,Hari Uttiraa,Cool Suresh,Drama,S,8.2
2018,Rajavin Paarvai Raniyin Pakkam,Azhagu Raj,Adhava,"Action, masala",U,5.4
2018,Torchlight,Abdul Majith,Sadha,Romantic comedy,U/A,7.7
2018,Thodraa,Madhu Raj,Prithvi Rajan,Romance,S,1.8
2018,Vanjagar Ulagam,Manoj Beedha,Guru Somasundaram,Romantic drama,U,7.7
2018,Seema Raja,Ponram,Sivakarthikeyan,Crime thriller,U/A,8.2
2018,U Turn,Pawan Kumar,Samantha,"Thriller, drama",S,5.4
2018,Eghantham,Arsal Arumugam,Vivanth,Action,U,7.7
2018,Medai,S. N. Hariram,Pugazh,Psychological thriller,U/A,1.8
2018,Raja Ranguski,Dharani Dharan,Shirish,Adult,S,7.7
2018,Saamy Square,Hari,Vikram,Masala,U,8.2
2018,Chekka Chivantha Vaanam,Mani Ratnam,Arvind Swami,Suspense thriller,U/A,5.4
2018,Aadavar,Sriranjan,Kiran,"Thriller, fantasy",S,7.7
2018,Pariyerum Perumal,Mari Selvaraj,Kathir,Epic,U,1.8
2018,96,Prem Kumar,Vijay Sethupathi,Thriller,U/A,7.7
2018,Nota,Anand Shankar,Vijay Devarakonda,"Action, drama",S,8.2
2018,Raatchasan,Ramkumar,Vishnu,Comedy drama,U,5.4
2019,Alagarum Rendu Allakaium,K. Thambidurai,K. Thambidurai,Suspense thriller,S,7.7
2019,Mudivilla Punnagai,Arokiasamy Clement,Cool Suresh,"Thriller, fantasy",U,8.2
2019,Devarattam,M. Muthaiah,Gautham Karthik,Epic,U/A,5.4
2019,K-13,Barath Neelakantan,Arulnithi,Thriller,S,7.7
2019,Thanimai,S. Sivaraman,Sonia Agarwal,"Action, drama",U,1.8
2019,Thanthai Sol Mikka Manthiram Illai,Sivabalakrishnan,Sivabalakrishnan,Comedy drama,U/A,7.7
2019,Enge Sendrai En Uyire,R. V. Pandi,Tharun,Comedy,S,8.2
2019,Kadhal Munnetra Kazhagam,Manicka Sathya,Prithvi Rajan,"Mob, neo-noir",U,5.4
2019,Kee,Kalees,Jiiva,Erotic thriller,U/A,7.7
2019,Unmaiyen Velicham,P. K. Sivakumar,Kirthi Krishna,Erotic,S,1.8
2019,Vedhamanavan,M. Pughazhendi,Mano Jeyanth,"Romance, action",U,7.7
2019,100,Sam Anton,Atharvaa,Comedy horror,U/A,8.2
2019,Ayogya,Venkat Mohan,Vishal,Sports comedy,S,5.4
2019,Jaikkapovadhu Yaaru,Sam C. S.,Sam C. S.,"Action, thriller",U,7.7
2019,Monster,Nelson Venkatesan,S. J. Surya,Action thriller,U/A,1.8
2019,Mr. Local,M. Rajesh,Sivakarthikeyan,"Period piece, romantic drama",S,7.7
2019,Natpuna Ennanu Theriyuma,ShivaKumar Arvind,Kavin,Action-masala,U,8.2
2019,Lisaa,Raju Vishwanath,Anjali,Political drama,U/A,5.4
2019,Neeya 2,L. K. Suresh,Jai,Science fiction,S,7.7
2019,Oviyavai Vitta Yaru,Rajadurai,Sanjeevi,Action-drama,U,1.8
2019,Owdatham,Ramani,S. Nethaji Prabhu,Devotional,U/A,7.7
2019,Perazhagi ISO,C. Vijayan,Shilpa Manjunath,Action-masala film,S,8.2
2019,Rusithu Paar En Anbe,Matthew Yuvani,Matthew,Sports,U,5.4
2019,Vannakili Bharathi,Igore,Vijay Karan,Fantasy,U/A,7.7
2019,Devi 2,A. L. Vijay,Prabhu Deva,Romantic thriller,S,1.8
2019,NGK,Selvaraghavan,Suriya,Period piece,U,7.7
2019,Thiruttu Kalyanam,Shakthivelan,Rangayazhi,Comedy thriller,U/A,8.2
2019,Seven,Nizar Shafi,Havish,Adult comedy,S,5.4
2019,Kolaigaran,Andrew Louis,Vijay Antony,Biographical,U,7.7
2019,Game Over,Ashwin Saravanan,Taapsee Pannu,Political satire,U/A,1.8
2019,Nenjamundu Nermaiyundu Odu Raja,Karthik Venugopalan,Rio Raj,Gangster-thriller,S,7.7
2019,Suttu Pidikka Utharavu,Ramprakash Rayappa,Vikranth,Adult thriller,U,8.2
2019,Mosadi,K. Jagatheesan,Viju Ayyapasamie,Superhero,U/A,5.4
2019,Thumbaa,Harish Ram,Darshan,Spoof,S,7.7
2019,Sindhubaadh,S. U. Arun Kumar,Vijay Sethupathi,Adult romance,U,1.8
2019,Dharmaprabhu,S. Muthukumaran,Yogi Babu,Horror,U/A,7.7
2019,House Owner,Lakshmy Ramakrishnan,Kishore,Crime,S,8.2
2019,Jiivi,V. J. Gopinath,Vetri,Spy thriller,U,5.4
2019,Natchathira Jannalil,Jayamurugesan,Abishek Kumaran,Drama-thriller,U/A,7.7
2019,Enakku Innum Kalyanam Aakale,Murugalingam,Jagan,Comedy-thriller,S,1.8
2019,Kalavani 2,A. Sarkunam,Vimal,Action thriller,U,7.7
2019,Raatchasi,Sy. Gowthamraj,Jyothika,Romance-thriller,U/A,8.2
2019,Bodhai Yeri Budhi Maari,Chandru,Dheeraj,Action masala,S,5.4
2019,Gorilla,Don Sandy,Jiiva,Black comedy,U,7.7
2019,Gurkha,Sam Anton,Yogi Babu,Horror / thriller,U/A,1.8
2019,Thozhar Venkatesan,Mahashivan,Harishankar,Action drama,S,7.7
2019,Vennila Kabaddi Kuzhu 2,Selvasekaran,Vikranth,Fantasy thriller,U,8.2
2019,Igloo,Bharath Mohan,Amzath Khan,War drama,U/A,5.4
2019,Aadai,Rathnakumar,Amala Paul,Fantasy comedy,S,7.7
2019,Kadaram Kondan,Rajesh Selva,Vikram,Comedy-drama,U,1.8
2019,Unarvu,Subu Venkat,Suman,Fantasy-period,U/A,7.7
2019,A1,Johnson,Santhanam,Sports drama,S,8.2
2019,Aaradi,Santhosh,Vijayaraj,Historical comedy/Satire,U,5.4
2019,Chennai Palani Mars,Biju Viswanath,Praveen Raja,Horror comedy,U/A,7.7
2019,Kolanji,Dhanaram Saravanan,Samuthirakani,Action comedy,S,1.8
2019,Jackpot,Kalyaan,Jyothika,Animation/,U,7.7
2019,Kazhugu 2,Sathyasiva,Krishna,Adventure,U/A,8.2
2019,Thorati,P. Marimuthu,Shaman Mithru,Comedy thriller,S,5.4
2019,Nerkonda Paarvai,H. Vinoth,Ajith Kumar,Adventure thriller,U,7.7
2019,Kolaiyuthir Kaalam,Chakri Toleti,Nayanthara,Biopic,U/A,1.8
2019,Reel,Munuswamy,Uday Raj,Heist-comedy,S,7.7
2019,Seemapuram,Jolyman,Bruce Lee Rajesh,Action-comedy,U,8.2
2019,Valaiyal,A. Gurusekara,Sakthee Sivan,Mob,U/A,5.4
2019,Comali,Pradeep Ranganathan,Jayam Ravi,Family drama,S,7.7
2019,Maankutty,M. Boobalan,Suresh,Road film,U,1.8
2019,Puli Adichan Patti,Vaidyaa,Vaidyaa,Sci-fi romantic thriller,U/A,7.7
2019,Kennedy Club,Suseenthiran,Sasikumar,Historical fiction,S,8.2
2019,Bakrid,Jagadeesan Subu,Vikranth,Science-fiction thriller,U,5.4
2019,Mei,S. A. Bhaskaran,Nicky Sundaram,Romantic,U/A,7.7
2019,Mayuran,Nandan Subbrayan,Anjan Dev,Social thriller,S,1.8
2019,Sixer,Chachi,Vaibhav,Comedy masala,U,7.7
2019,Magamuni,Santhakumar,Arya,Anthology,U/A,8.2
2019,Sivappu Manjal Pachai,Sasi,Siddharth,Heist,S,5.4
2019,Zombie,Bhuvan Nullan,Yogi Babu,Musical,U,7.7
2019,En Kaadhali Scene Podura,Ram Sevaa,Mahesh,Satire,U/A,1.8
2019,Ongala Podanum Sir,R. L. Ravi-Sreejith Vijayan,Jithan Ramesh,Political thriller,S,7.7
2019,Perunali,Citizen Mani,Jayan,Supernatural thriller,U,8.2
2019,Kaappaan,K. V. Anand,Suriya,Comic thriller,U/A,5.4
2019,Oththa Seruppu Size 7,Parthiepan,Parthiepan,Spy comedy,S,7.7
2019,Super Duper,AK,Dhruva,Science-fiction comedy,U,1.8
2019,Namma Veettu Pillai,Pandiraj,Sivakarthikeyan,Epic / history,U/A,7.7
2019,Thittam Poattu Thirudura Kootam,Sudhar,Chandran,Biography,S,8.2
2019,100% Kadhal,M. M. Chandramouli,G. V. Prakash Kumar,Science fiction comedy,U,5.4
2019,Asuran,Vetrimaaran,Dhanush,Fantasy horror,U/A,7.7
2019,Aruvam,Sai Sekhar,Siddharth,Road thriller,S,1.8
2019,Petromax,Rohin Venkatesan,Tamannaah,Horror drama,U,7.7
2019,Puppy,Natty Dev,Varun,Thriller drama,U/A,8.2
2019,Bow Bow,S. Pradeep Kilikar,Master Ahaan,Mystery,S,5.4
2019,Kaaviyyan,Sarathi,Shaam,Suspense Drama,U,7.7
2019,Bigil,Atlee,Vijay,Neo Noir Thriller,U/A,1.8
2019,Kaithi,Lokesh Kanagaraj,Karthi,Drama thriller,S,7.7
2019,Butler Balu,M. L. Suthir,Yogi Babu,Social satire,U,8.2
2019,Miga Miga Avasaram,Suresh Kamatchi,Sri Priyanka,Romanctic drama,U/A,5.4
2019,Thavam,"Vijay Anand, Suriyan",Vasi Ashif,Historical drama,S,7.7
2019,Action,Sundar C,Vishal,Thiller,U,1.8
2019,Sangathamizhan,Vijay Chandar,Vijay Sethupathi,Supernatural comedy,U/A,7.7
2019,Adithya Varma,Gireesaya,Dhruv Vikram,Supernatural,S,8.2
2019,K. D.,Madhumitha,Mu Ramaswamy,Historical,U,5.4
2019,Maggy,Kartikeyen,Doubt Senthil,Horror masala,U/A,7.7
2019,Panam Kaaikkum Maram,JP,Akshay,Heist thriller,S,1.8
2019,Pei Vaala Pudicha Kadha,Mankavasagam,Anureethu,Fantasy adventure comedy,U,7.7
2019,Adutha Saattai,M. Anbazhagan,Samuthirakani,Action adventure,U/A,8.2
2019,Azhiyatha Kolangal 2,M. R. Bharathi,Prakash Raj,Crime drama,S,5.4
2019,Enai Noki Paayum Thota,Gautham Vasudev Menon,Dhanush,Musical drama,U,7.7
2019,Market Raja MBBS,Saran,Arav,Horror thriller,U/A,1.8
2019,Theemaikum Nanmai Sei,Raghava Hari Kesava,Vicky,Period,S,7.7
2019,Dhanusu Raasi Neyargale,Sanjay Bharathi,Harish Kalyan,Social drama,U,8.2
2019,Irandam Ulagaporin Kadaisi Gundu,Athiyan Athirai,Dinesh,Drama,U/A,5.4
2019,Iruttu,V. Z. Durai,Sundar C,"Action, masala",S,7.7
2019,Jada,Kumaran,Kathir,Romantic comedy,U,1.8
2019,50 Roova,G. Panneerselvam,Akhil,Romance,U/A,7.7
2019,Capmaari,S. A. Chandrasekhar,Jai,Romantic drama,S,8.2
2019,Champion,Suseenthiran,Vishwa,Crime thriller,U,5.4
2019,Chennai 2 Bangkok,Sathish Santhosh,Jai Akash,"Thriller, drama",U/A,7.7
2019,Kaalidas,Sri Senthil,Bharath,Action,S,1.8
2019,Karuthukalai Pathivu Sei,Rahul Paramahamsa,SSR Aryan,Psychological thriller,U,7.7
2019,Manguni Pandiyargal,Jebaa,Jebaa,Adult,U/A,8.2
2019,Marina Puratchi,M. S. Raj,Naveen Kumar,Masala,S,5.4
2019,Thirupathi Samy Kudumbam,Suresh Shanmugam,JK,Suspense thriller,U,7.7
2019,RK Nagar,Saravana Rajan,Vaibhav,"Thriller, fantasy",U/A,1.8
2019,Hero,P. S. Mithran,Sivakarthikeyan,Epic,S,7.7
2019,Khyla,Baskar Sinouvassane,Gogen,Thriller,U,8.2
2019,Paramu,Manick Jai,Manick Jai,"Action, drama",U/A,5.4
2021,Kulasekara Pattinam,Aalwan,James,"Action, drama",S,7.7
2021,Maara,Dhilip Kumar,Madhavan,Comedy drama,U,8.2
2021,Pachaikili,Sri Sai MK Selvam,Gypsy Rajkumar,Comedy,U/A,5.4
2021,V,Davinci Saravanan,Raaghav,"Mob, neo-noir",S,7.7
2021,Master,Lokesh Kanagaraj,Vijay,Erotic thriller,U,1.8
2021,Bhoomi,Lakshman,Jayam Ravi,Erotic,U/A,7.7
2021,Eeswaran,Suseenthiran,Silambarasan,"Romance, action",S,8.2
2021,Pulikkuthi Pandi,M. Muthaiah,Vikram Prabhu,Comedy horror,U,5.4
2021,E P KO 306,Sai,Thara Palanivel,Sports comedy,U/A,7.7
2021,Enga Ooru Pookari,Vasatha Saker,Vasatha Saker,"Action, thriller",S,1.8
2021,Kabadadaari,Pradeep Krishnamoorthy,Sibi Sathyaraj,Action thriller,U,7.7
2021,Keelakadu,Satyamoorthi Jeyaguru,Ajay Karthik,"Period piece, romantic drama",U/A,8.2
2021,Kook Giramam,K. Raman,Shiva,Action-masala,S,5.4
2021,Sencholai,Farook,Farook,Political drama,U,7.7
2021,Aatkal Thevai,Sakthi Sivan,Sakthi Sivan,Science fiction,U/A,1.8
2021,Chidambaram Railway Gate,Sivabalan,Anbu Mayilsamy,Action-drama,S,7.7
2021,Kalathil Santhippom,N. Rajasekhar,Jiiva,Devotional,U,8.2
2021,Trip,Dennis Manjunath,Yogi Babu,Action-masala film,U/A,5.4
2021,C/o Kaadhal,Hemambar Jasti,Vetri,Sports,S,7.7
2021,Idhu Vibathu Paghuthi,Vijay Thirumoolam,Sasi,Fantasy,U,1.8
